"Volume and Turnover data of top 10 Clearing Members (no. of contracts) in Equity Derivatives as on Dec 16, 2025 (Amounts in Rs. Crore)",,,,,,,,,,
Serial Number,Indx Futures Vol(Contracts),Index Futures Trnvr(Crores),Stock Futures Vol(Contracts),Stock Futures Trnvr(Crores),Index Options Vol(Contracts),Index Options Trnvr(Crores),Indx Opt Trnvr(prm)(Crores),Stock Options Vol(Contracts),Stock Options Trnvr(Crores),Stock Opt Trnvr(prm)(Crores)
1,10078,1983.56,143682,9983.34,135428863,26137784.38,22207.40,2124244,153205.24,1764.09
2,25256,4873.64,83345,5680.43,43647517,8404097.04,13708.79,770384,54901.21,709.59
3,1542,294.40,8398,561.94,39168909,7540190.56,9524.48,461999,32306.97,391.64
4,6898,1322.70,28007,1921.28,33072028,6366541.04,8669.37,460740,32843.02,421.19
5,897,153.25,68,4.77,26326583,4481704.30,8463.56,39,3.12,0.02
6,21899,4341.93,63085,4357.55,22428086,4328420.84,2653.13,201561,14200.90,182.94
7,7157,1399.09,100378,6665.45,16180710,3107158.82,2697.78,337234,23510.29,332.09
8,19,3.69,423,30.73,13838175,2643197.11,5033.07,938332,65715.42,849.81
9,2063,395.50,3802,257.53,13313758,2567926.14,3818.07,99705,7108.22,96.50
10,746,150.57,12224,829.17,11143650,2153393.36,3277.97,15545,1060.56,18.46
TOTAL,76555,14918.33,443412,30292.18,354548279,67730413.58,80053.62,5409783,384854.97,4766.33
Note: Turnover = traded quantity * (strike price + premium),,,,,,,,,,
Turnover in terms of premium = traded quantity * premium,,,,,,,,,,
